annee_numero_de_tirage;date_de_tirage;heure_de_tirage;date_de_forclusion;boule1;boule2;boule3;boule4;boule5;boule6;boule7;boule8;boule9;boule10;boule11;boule12;boule13;boule14;boule15;boule16;boule17;boule18;boule19;boule20;multiplicateur;numero_jokerplus;devise;
2022470;23/08/2022;soir;23/10/2022;1;5;10;13;15;19;24;35;37;40;41;46;48;52;54;55;57;61;65;68;2;6 931 965;eur;
2022469;23/08/2022;midi;23/10/2022;4;11;14;15;16;17;19;22;24;29;33;37;40;41;44;47;51;52;64;70;2;9 829 570;eur;
2022468;22/08/2022;soir;22/10/2022;4;6;13;19;20;22;24;25;28;29;32;33;35;43;50;52;55;61;68;70;2;2 313 780;eur;
2022467;22/08/2022;midi;22/10/2022;4;6;7;8;12;14;20;25;28;29;39;42;44;45;47;54;58;60;67;69;3;9 714 664;eur;
2022466;21/08/2022;soir;21/10/2022;2;4;6;7;15;17;19;28;34;37;38;41;42;43;47;50;54;60;62;63;2;5 007 796;eur;
2022465;21/08/2022;midi;21/10/2022;1;2;9;13;16;19;23;25;28;30;32;34;40;51;52;62;63;65;66;68;2;9 474 582;eur;
2022464;20/08/2022;soir;20/10/2022;8;10;13;15;17;20;24;30;31;34;38;40;43;44;48;50;54;56;59;68;5;2 354 164;eur;
2022463;20/08/2022;midi;20/10/2022;1;3;8;13;18;19;23;26;29;38;46;47;50;57;58;60;63;64;66;67;2;8 693 844;eur;
2022462;19/08/2022;soir;19/10/2022;2;4;9;15;19;20;24;25;33;36;38;40;43;49;51;55;56;65;69;70;2;0 406 959;eur;
2022461;19/08/2022;midi;19/10/2022;5;8;10;11;15;16;17;18;24;26;27;29;30;32;33;34;38;60;63;70;2;3 995 377;eur;
2022460;18/08/2022;soir;18/10/2022;1;3;4;8;10;12;15;29;32;34;36;37;41;43;46;57;59;62;66;67;3;5 308 849;eur;
